mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,brand,power_to_weight
18.0,8,307.0,130.0,3504,12.0,70,usa,chevrolet chevelle malibu,chevrolet,0.037100456621004564
15.0,8,350.0,165.0,3693,11.5,70,usa,buick skylark 320,buick,0.04467912266450041
18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth satellite,plymouth,0.043655413271245634
16.0,8,304.0,150.0,3433,12.0,70,usa,amc rebel sst,amc,0.043693562481794346
17.0,8,302.0,140.0,3449,10.5,70,usa,ford torino,ford,0.04059147579008408
15.0,8,429.0,198.0,4341,10.0,70,usa,ford galaxie 500,ford,0.04561161022805805
14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet impala,chevrolet,0.050528249885163065
14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth fury iii,plymouth,0.049860853432282005
14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac catalina,pontiac,0.05084745762711865
15.0,8,390.0,190.0,3850,8.5,70,usa,amc ambassador dpl,amc,0.04935064935064935
15.0,8,383.0,170.0,3563,10.0,70,usa,dodge challenger se,dodge,0.04771260174010665
14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth 'cuda 340,plymouth,0.04433361041839845
15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet monte carlo,chevrolet,0.03988300983780909
14.0,8,455.0,225.0,3086,10.0,70,usa,buick estate wagon (sw),buick,0.0729099157485418
24.0,4,113.0,95.0,2372,15.0,70,japan,toyota corona mark ii,toyota,0.04005059021922428
22.0,6,198.0,95.0,2833,15.5,70,usa,plymouth duster,plymouth,0.03353335686551359
18.0,6,199.0,97.0,2774,15.5,70,usa,amc hornet,amc,0.034967555875991346
21.0,6,200.0,85.0,2587,16.0,70,usa,ford maverick,ford,0.032856590645535366
27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510,datsun,0.04131455399061033
26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan,volkswagen,0.025068119891008173
25.0,4,110.0,87.0,2672,17.5,70,europe,peugeot 504,peugeot,0.03255988023952096
24.0,4,107.0,90.0,2430,14.5,70,europe,audi 100 ls,audi,0.037037037037037035
25.0,4,104.0,95.0,2375,17.5,70,europe,saab 99e,saab,0.04
26.0,4,121.0,113.0,2234,12.5,70,europe,bmw 2002,bmw,0.050581915846016116
21.0,6,199.0,90.0,2648,15.0,70,usa,amc gremlin,amc,0.033987915407854986
10.0,8,360.0,215.0,4615,14.0,70,usa,ford f250,ford,0.04658721560130011
10.0,8,307.0,200.0,4376,15.0,70,usa,chevy c20,chevrolet,0.04570383912248629
11.0,8,318.0,210.0,4382,13.5,70,usa,dodge d200,dodge,0.04792332268370607
9.0,8,304.0,193.0,4732,18.5,70,usa,hi 1200d,hi,0.04078613693998309
27.0,4,97.0,88.0,2130,14.5,71,japan,datsun pl510,datsun,0.04131455399061033
28.0,4,140.0,90.0,2264,15.5,71,usa,chevrolet vega 2300,chevrolet,0.03975265017667844
25.0,4,113.0,95.0,2228,14.0,71,japan,toyota corona,toyota,0.042639138240574505
19.0,6,232.0,100.0,2634,13.0,71,usa,amc gremlin,amc,0.037965072133637055
16.0,6,225.0,105.0,3439,15.5,71,usa,plymouth satellite custom,plymouth,0.030532131433556268
17.0,6,250.0,100.0,3329,15.5,71,usa,chevrolet chevelle malibu,chevrolet,0.030039050765995796
19.0,6,250.0,88.0,3302,15.5,71,usa,ford torino 500,ford,0.026650514839491216
18.0,6,232.0,100.0,3288,15.5,71,usa,amc matador,amc,0.030413625304136254
14.0,8,350.0,165.0,4209,12.0,71,usa,chevrolet impala,chevrolet,0.039201710620099785
14.0,8,400.0,175.0,4464,11.5,71,usa,pontiac catalina brougham,pontiac,0.03920250896057348
14.0,8,351.0,153.0,4154,13.5,71,usa,ford galaxie 500,ford,0.03683196918632643
14.0,8,318.0,150.0,4096,13.0,71,usa,plymouth fury iii,plymouth,0.03662109375
12.0,8,383.0,180.0,4955,11.5,71,usa,dodge monaco (sw),dodge,0.03632694248234107
13.0,8,400.0,170.0,4746,12.0,71,usa,ford country squire (sw),ford,0.03581963758954909
13.0,8,400.0,175.0,5140,12.0,71,usa,pontiac safari (sw),pontiac,0.03404669260700389
18.0,6,258.0,110.0,2962,13.5,71,usa,amc hornet sportabout (sw),amc,0.03713706954760297
22.0,4,140.0,72.0,2408,19.0,71,usa,chevrolet vega (sw),chevrolet,0.029900332225913623
19.0,6,250.0,100.0,3282,15.0,71,usa,pontiac firebird,pontiac,0.030469226081657527
18.0,6,250.0,88.0,3139,14.5,71,usa,ford mustang,ford,0.028034405861739407
23.0,4,122.0,86.0,2220,14.0,71,usa,mercury capri 2000,mercury,0.03873873873873874
28.0,4,116.0,90.0,2123,14.0,71,europe,opel 1900,opel,0.04239284032030146
30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot 304,peugeot,0.033751205400192864
30.0,4,88.0,76.0,2065,14.5,71,europe,fiat 124b,fiat,0.036803874092009685
31.0,4,71.0,65.0,1773,19.0,71,japan,toyota corolla 1200,toyota,0.03666102650874224
35.0,4,72.0,69.0,1613,18.0,71,japan,datsun 1200,datsun,0.04277743335399876
27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen model 111,volkswagen,0.03271537622682661
26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth cricket,plymouth,0.03580562659846547
24.0,4,113.0,95.0,2278,15.5,72,japan,toyota corona hardtop,toyota,0.04170324846356453
25.0,4,97.5,80.0,2126,17.0,72,usa,dodge colt hardtop,dodge,0.03762935089369708
23.0,4,97.0,54.0,2254,23.5,72,europe,volkswagen type 3,volkswagen,0.023957409050576754
20.0,4,140.0,90.0,2408,19.5,72,usa,chevrolet vega,chevrolet,0.03737541528239203
21.0,4,122.0,86.0,2226,16.5,72,usa,ford pinto runabout,ford,0.03863432165318958
13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet impala,chevrolet,0.0386055217594759
14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina,pontiac,0.039908779931584946
15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth fury iii,plymouth,0.036275695284159616
14.0,8,351.0,153.0,4129,13.0,72,usa,ford galaxie 500,ford,0.03705497699200775
17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst,amc,0.04084967320261438
11.0,8,429.0,208.0,4633,11.0,72,usa,mercury marquis,mercury,0.044895316209799266
13.0,8,350.0,155.0,4502,13.5,72,usa,buick lesabre custom,buick,0.03442914260328743
12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile delta 88 royale,oldsmobile,0.03590664272890485
13.0,8,400.0,190.0,4422,12.5,72,usa,chrysler newport royal,chrysler,0.04296698326549073
19.0,3,70.0,97.0,2330,13.5,72,japan,mazda rx2 coupe,mazda,0.041630901287553645
15.0,8,304.0,150.0,3892,12.5,72,usa,amc matador (sw),amc,0.03854059609455293
13.0,8,307.0,130.0,4098,14.0,72,usa,chevrolet chevelle concours (sw),chevrolet,0.0317227916056613
13.0,8,302.0,140.0,4294,16.0,72,usa,ford gran torino (sw),ford,0.032603632976245925
14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth satellite custom (sw),plymouth,0.03679175864606328
18.0,4,121.0,112.0,2933,14.5,72,europe,volvo 145e (sw),volvo,0.03818615751789976
22.0,4,121.0,76.0,2511,18.0,72,europe,volkswagen 411 (sw),volkswagen,0.030266825965750695
21.0,4,120.0,87.0,2979,19.5,72,europe,peugeot 504 (sw),peugeot,0.02920443101711984
26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12 (sw),renault,0.031521242576518956
22.0,4,122.0,86.0,2395,16.0,72,usa,ford pinto (sw),ford,0.03590814196242171
28.0,4,97.0,92.0,2288,17.0,72,japan,datsun 510 (sw),datsun,0.04020979020979021
23.0,4,120.0,97.0,2506,14.5,72,japan,toyouta corona mark ii (sw),toyota,0.038707102952913006
28.0,4,98.0,80.0,2164,15.0,72,usa,dodge colt (sw),dodge,0.036968576709796676
27.0,4,97.0,88.0,2100,16.5,72,japan,toyota corolla 1600 (sw),toyota,0.0419047619047619
13.0,8,350.0,175.0,4100,13.0,73,usa,buick century 350,buick,0.042682926829268296
14.0,8,304.0,150.0,3672,11.5,73,usa,amc matador,amc,0.04084967320261438
13.0,8,350.0,145.0,3988,13.0,73,usa,chevrolet malibu,chevrolet,0.03635907723169508
14.0,8,302.0,137.0,4042,14.5,73,usa,ford gran torino,ford,0.0338941118258288
15.0,8,318.0,150.0,3777,12.5,73,usa,dodge coronet custom,dodge,0.03971405877680699
12.0,8,429.0,198.0,4952,11.5,73,usa,mercury marquis brougham,mercury,0.03998384491114701
13.0,8,400.0,150.0,4464,12.0,73,usa,chevrolet caprice classic,chevrolet,0.033602150537634407
13.0,8,351.0,158.0,4363,13.0,73,usa,ford ltd,ford,0.03621361448544579
14.0,8,318.0,150.0,4237,14.5,73,usa,plymouth fury gran sedan,plymouth,0.03540240736370073
13.0,8,440.0,215.0,4735,11.0,73,usa,chrysler new yorker brougham,chrysler,0.0454065469904963
12.0,8,455.0,225.0,4951,11.0,73,usa,buick electra 225 custom,buick,0.045445364572813576
13.0,8,360.0,175.0,3821,11.0,73,usa,amc ambassador brougham,amc,0.04579952891913112
18.0,6,225.0,105.0,3121,16.5,73,usa,plymouth valiant,plymouth,0.03364306312079462
16.0,6,250.0,100.0,3278,18.0,73,usa,chevrolet nova custom,chevrolet,0.03050640634533252
18.0,6,232.0,100.0,2945,16.0,73,usa,amc hornet,amc,0.03395585738539898
18.0,6,250.0,88.0,3021,16.5,73,usa,ford maverick,ford,0.029129427341939754
23.0,6,198.0,95.0,2904,16.0,73,usa,plymouth duster,plymouth,0.03271349862258953
26.0,4,97.0,46.0,1950,21.0,73,europe,volkswagen super beetle,volkswagen,0.02358974358974359
11.0,8,400.0,150.0,4997,14.0,73,usa,chevrolet impala,chevrolet,0.03001801080648389
12.0,8,400.0,167.0,4906,12.5,73,usa,ford country,ford,0.03403995108030983
13.0,8,360.0,170.0,4654,13.0,73,usa,plymouth custom suburb,plymouth,0.0365277180919639
12.0,8,350.0,180.0,4499,12.5,73,usa,oldsmobile vista cruiser,oldsmobile,0.04000889086463658
18.0,6,232.0,100.0,2789,15.0,73,usa,amc gremlin,amc,0.035855145213338116
20.0,4,97.0,88.0,2279,19.0,73,japan,toyota carina,toyota,0.03861342694164107
21.0,4,140.0,72.0,2401,19.5,73,usa,chevrolet vega,chevrolet,0.029987505206164097
22.0,4,108.0,94.0,2379,16.5,73,japan,datsun 610,datsun,0.039512400168137875
18.0,3,70.0,90.0,2124,13.5,73,japan,maxda rx3,mazda,0.0423728813559322
19.0,4,122.0,85.0,2310,18.5,73,usa,ford pinto,ford,0.0367965367965368
21.0,6,155.0,107.0,2472,14.0,73,usa,mercury capri v6,mercury,0.043284789644012944
26.0,4,98.0,90.0,2265,15.5,73,europe,fiat 124 sport coupe,fiat,0.039735099337748346
15.0,8,350.0,145.0,4082,13.0,73,usa,chevrolet monte carlo s,chevrolet,0.035521803037726604
16.0,8,400.0,230.0,4278,9.5,73,usa,pontiac grand prix,pontiac,0.053763440860215055
29.0,4,68.0,49.0,1867,19.5,73,europe,fiat 128,fiat,0.026245313336904125
24.0,4,116.0,75.0,2158,15.5,73,europe,opel manta,opel,0.03475440222428174
20.0,4,114.0,91.0,2582,14.0,73,europe,audi 100ls,audi,0.03524399690162665
19.0,4,121.0,112.0,2868,15.5,73,europe,volvo 144ea,volvo,0.03905160390516039
15.0,8,318.0,150.0,3399,11.0,73,usa,dodge dart custom,dodge,0.0441306266548985
24.0,4,121.0,110.0,2660,14.0,73,europe,saab 99le,saab,0.041353383458646614
20.0,6,156.0,122.0,2807,13.5,73,japan,toyota mark ii,toyota,0.04346277164232276
11.0,8,350.0,180.0,3664,11.0,73,usa,oldsmobile omega,oldsmobile,0.04912663755458515
20.0,6,198.0,95.0,3102,16.5,74,usa,plymouth duster,plymouth,0.030625402965828497
19.0,6,232.0,100.0,2901,16.0,74,usa,amc hornet,amc,0.03447087211306446
15.0,6,250.0,100.0,3336,17.0,74,usa,chevrolet nova,chevrolet,0.02997601918465228
31.0,4,79.0,67.0,1950,19.0,74,japan,datsun b210,datsun,0.03435897435897436
26.0,4,122.0,80.0,2451,16.5,74,usa,ford pinto,ford,0.032639738882088945
32.0,4,71.0,65.0,1836,21.0,74,japan,toyota corolla 1200,toyota,0.03540305010893246
25.0,4,140.0,75.0,2542,17.0,74,usa,chevrolet vega,chevrolet,0.029504327301337528
16.0,6,250.0,100.0,3781,17.0,74,usa,chevrolet chevelle malibu classic,chevrolet,0.026448029621793177
16.0,6,258.0,110.0,3632,18.0,74,usa,amc matador,amc,0.0302863436123348
18.0,6,225.0,105.0,3613,16.5,74,usa,plymouth satellite sebring,plymouth,0.029061721561029614
16.0,8,302.0,140.0,4141,14.0,74,usa,ford gran torino,ford,0.03380825887466796
13.0,8,350.0,150.0,4699,14.5,74,usa,buick century luxus (sw),buick,0.03192168546499255
14.0,8,318.0,150.0,4457,13.5,74,usa,dodge coronet custom (sw),dodge,0.03365492483733453
14.0,8,302.0,140.0,4638,16.0,74,usa,ford gran torino (sw),ford,0.030185424752048298
14.0,8,304.0,150.0,4257,15.5,74,usa,amc matador (sw),amc,0.035236081747709654
29.0,4,98.0,83.0,2219,16.5,74,europe,audi fox,audi,0.03740423614240649
26.0,4,79.0,67.0,1963,15.5,74,europe,volkswagen dasher,volkswagen,0.03413143148242486
26.0,4,97.0,78.0,2300,14.5,74,europe,opel manta,opel,0.03391304347826087
31.0,4,76.0,52.0,1649,16.5,74,japan,toyota corona,toyota,0.031534263189812006
32.0,4,83.0,61.0,2003,19.0,74,japan,datsun 710,datsun,0.030454318522216674
