brand,mpg,horsepower,name
honda,33.76153846153846,97.0,13
volkswagen,31.84090909090909,78.0,22
datsun,31.11304347826087,132.0,23
mazda,30.058333333333334,110.0,12
fiat,28.9125,90.0,8
toyota,28.165384615384614,122.0,26
audi,26.714285714285715,103.0,7
peugeot,23.6875,133.0,8
dodge,22.060714285714287,210.0,28
plymouth,21.703225806451613,215.0,31
volvo,21.116666666666667,125.0,6
oldsmobile,21.1,180.0,10
chevrolet,20.21914893617021,220.0,47
pontiac,20.0125,230.0,16
ford,19.474999999999998,215.0,48
buick,19.18235294117647,225.0,17
mercury,19.11818181818182,208.0,11
amc,18.07037037037037,190.0,27
chrysler,17.266666666666666,215.0,6
